번호,작성자,작성일,댓글,회차,좋아요,대댓글수
22,니냐니뇨,15.12.07,"저런.....어려운 가정형편 때문에
재수없는 보스밑에서 9년을 버텨왔다니.....
이제 자기만에 시간을 보내보려고 그러는걸까요??",김 비서가 왜 그럴까(애장판) 03화,676,11
23,"수플레,러뷰어,베스트,고리",15.12.07,성현이가 사흘만에 돌아오고 관심을 너무 받은 나머지 성연이는 그 관심을 받고 싶어 성현이 처럼 되고 싶어했고 그래서 성현이가 당했던 일들이 자신이 당했던 일이라고 스스로에게 거짓말을 하다보니 그게 진짜처럼 믿게 된거죠?,김 비서가 왜 그럴까(애장판) 34화,670,43
24,김이재,15.12.19,미친ㅋㅋㅋㅋ 개쩔어 말빨 봐,김 비서가 왜 그럴까(애장판) 09화,656,6
25,로설이조아😁😍😘,15.12.08,그 작가...아무래도 형인거 같네요.  어린시절의 비밀이 그 처녀작에 있을거고... 영준은 케이블타이에 발목을 묶여있었나 보네요... 아~ 궁금타~ 빨리 기억 찾으렴~,김 비서가 왜 그럴까(애장판) 19화,649,32
26,바람속을걷다,15.12.12,"사실 아빠의 대처가 가장 이상적이긴 했지만 가족간에는 이성보다는 감정이 먼저 움직인다는게 함정
결국은 ᆢ 다들 두려웠던거죠 ???
성연은 죄책감과 질책 받을까봐 ᆢ
엄마는 성연이 미칠까봐ᆢ
아빠는 그로인해 아내에게 무슨 일이 생길까봐ᆢ
성현은 엄마가 그여자처럼 될까봐 ᆢ
비겁하거나 잘못했다기보다는 그저 안타깝고 안스러울 뿐 ᆢ ???",김 비서가 왜 그럴까(애장판) 56화,614,18
27,hb0529,16.01.25,영리한 영준이가 쑈했네요...모른척 기억안나는척...집안의 평화를 위해서...미소를 알아보고 뽑은듯한데...ㅋㅋ,김 비서가 왜 그럴까(애장판) 43화,611,7
28,빼미,15.12.13,보스한테서  '재수없기'기술 을 터득하셨습니다            .....         ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 03화,611,11
29,니냐니뇨,15.12.11,"성연은 왜 자기가 유괴당했었다고
우기는겨??영준은 이제 미소를 만났으니
괜찮고 성연은 정신과 치료를
받아야될거 같네.....",김 비서가 왜 그럴까(애장판) 42화,605,8
30,호호아줌마,15.12.11,"영준이랑 미소가 고생많이했네요.
자기앞에서 사람이죽어가는걸듣고봤으니
영준이는 가위눌릴만도하네.
정신력하나는 끝내주는 영준.",김 비서가 왜 그럴까(애장판) 54화,596,3
31,달의정원,15.12.08,"제가 보기엔 같이 있던 형이 유괴된 곳을 엉터리로 가르쳐 준거 같은데요 ᆢ
유괴된곳과 영다른 곳에서 발견됐다고 했으니ᆢ
악몽을 꾸는걸로 봐선 영준이 유괴된 당사자 ᆢ 꿈은 무의식을 반영하니ᆢ
비난하는 형은 ᆢ 죄의식에 자기를 피해자로 기억을 조작해 버렸나ᆢ??",김 비서가 왜 그럴까(애장판) 25화,596,25
