번호,작성자,작성일,댓글,회차,좋아요,대댓글수
1700,시베리아프로틴스키,16.01.02,…………….성연…시베리아 벌판에서 애정이나 갈구하다 죽을자식.,김 비서가 왜 그럴까(애장판) 34화,7,댓글 달기
1701,Sshim,16.01.02,"엄훠 엄훠 
여기서 이러시면...........됩니다 네~~",김 비서가 왜 그럴까(애장판) 62화,7,댓글 달기
1702,딱다구리,15.12.29,"김수안무삼천갑사동박사.................이 이름보다는 낫긴 낫네 ""빅뱅안드로메다슈퍼노바소닉"" ~~혹시 부회장님 도어록 비번은 윈주율 아니신지 3.14159265358979323846................😲😱",김 비서가 왜 그럴까(애장판) 16화,7,2
1703,🌙💫✨🌟💍,15.12.28,"성기가 아프다니 전화 끊어버리는 전? 사모님? ㄲㄲㄲ
영준이 나르시즘 매력 터진다 진짜 ㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 30화,7,댓글 달기
1704,횽횽~~~,15.12.26,2인3각으로 착 달라붙었던 킹카가 붕어빵을 ....  아마도 미칠거여!!!!!  영준아! 앞이 훤하다!!~~~^^♡,김 비서가 왜 그럴까(애장판) 59화,7,댓글 달기
1705,봄날ᆢ오후의나른함,15.12.25,진짜 글 잘쓰는 작가님~~??감히 금옥 같다는 표현을 처음으로 써봅니다 ᆢ책구매하고도 또 읽고 또 읽어요ᆢ이문열ᆞ신경숙작가 이후 소중한 작가님 입니다,김 비서가 왜 그럴까(애장판) 43화,7,댓글 달기
1706,블루노바,15.12.25,그래도 미웠던 성연이도 조금 야속해보이던 영준이의 부모님도 본인들의 잘못을 깔끔하게 시인하는 모습이 멋지네요..한 번 실수는 병가지상사라지요..한 번의 실수로 모두가 너무 크나 큰 고통을 겪었지만 그 고통을 토대로 더 단단해지고 앞으로의 더 큰 실수를 예방하기 위한 계기가 되었으면 좋겠습니다.,김 비서가 왜 그럴까(애장판) 56화,7,댓글 달기
1707,오늘만_사는_뽀시래기🐋,15.12.24,아~성연이가 어디서 퍼즐조각 하나를 더 가져왔다는 말이..이제야 이해가 되는군요...성연이 때문에 영준이가 기억을 잃어버린척하고....영준이 안타깝네요ㅠㅜ,김 비서가 왜 그럴까(애장판) 43화,7,댓글 달기
1708,보검이보고설렘..💕,15.12.24,저 형제에겐 어마무시한 반전이 숨어 있다능......,김 비서가 왜 그럴까(애장판) 24화,7,댓글 달기
1709,김다영,15.12.24,거실 나가보니영준이 아니성현씨곯아떨어졌다는건아닌지요헤헤,김 비서가 왜 그럴까(애장판) 45화,7,댓글 달기
1710,러빙쩡이~♥,15.12.22,역시,김 비서가 왜 그럴까(애장판) 50화,7,댓글 달기
1711,🌙💫✨🌟💍,15.12.19,사천왕상에 공중부양. 비유 진짜 신선하다 ㅋㅋㅋ 싸우는 거 넘 귀여워 ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 21화,7,댓글 달기
1712,랄라라,15.12.17,작가님 꼭 둘째 낳아보신듯 ㅎㅎ,김 비서가 왜 그럴까(애장판) 72화,7,댓글 달기
1713,루룬,15.12.16,갑이지요 ㅋㅋ,김 비서가 왜 그럴까(애장판) 71화,7,댓글 달기
1714,코알라,15.12.16,우와우와~~~빛의속도로 결재하게 만드시네용~~~~~,김 비서가 왜 그럴까(애장판) 35화,7,댓글 달기
1715,니냐니뇨,15.12.14,"이제부터 저의 로망은 본부장님, 실장님, 이사님, 사장님도 아닌 부회장님이 되어버렸네요 앞으로는 요절복통 
미소♥영준 커플의 결혼준비 스토리겠군요~~흐흐흐",김 비서가 왜 그럴까(애장판) 57화,7,댓글 달기
1716,yoom,15.12.13,"니들만의 명랑체육대회ㅋㅋㄲㅋㅋㅋ 
나까지 명랑명랑~~~~~",김 비서가 왜 그럴까(애장판) 21화,7,댓글 달기
1717,쟈스민,15.12.13,"미소.....너무 단순 명쾌......멋진 캐릭터예요. 영준이는 쨉도 안되겠어요. 참 둘이 천생 연분이네요~~!!??
끼익 끼익 대롱 대롱 매달려 있던 것이 혹시 어린 아이들은 아니었겠죠?? 급 공포영화.......생각 나요~~!!???",김 비서가 왜 그럴까(애장판) 09화,7,댓글 달기
1718,디아크시,15.12.13,미소가 눈치챘으면.... 성연이도 알건알고 반성하고 미안해해야 되는데!!!!,김 비서가 왜 그럴까(애장판) 35화,7,댓글 달기
1719,바람불다♡♡,15.12.12,하아 ᆢᆢ,김 비서가 왜 그럴까(애장판) 55화,7,댓글 달기
1720,로설이조아😁😍😘,15.12.12,엥~? 앞편에서 기대하고 바로 결제하고 들어왔는데~ 그런데 뭔가 내용이 건너갔자나용~~??  으허~~,김 비서가 왜 그럴까(애장판) 63화,7,댓글 달기
1721,ㅋㅋ,15.12.11,여주가 찾는 남자가 남주네? 내 생각에는~~~,김 비서가 왜 그럴까(애장판) 13화,7,댓글 달기
1722,도희엄마,15.12.11,"글 읽는내내 입꼬리가 올라갔더니 보고있던 신랑 "" 뭐가 좋아 실실거리냐""며 한마디하고 가네요 표정이 므흣했나봐요",김 비서가 왜 그럴까(애장판) 72화,7,댓글 달기
1723,🌙💫✨🌟💍,15.12.11,거꾸로 매달려 있었나. 발목의 줄 흉터라니.,김 비서가 왜 그럴까(애장판) 13화,7,댓글 달기
1724,빨강머리앤,15.12.10,글쎄 ᆞ놀이공원 무료 개방?,김 비서가 왜 그럴까(애장판) 68화,7,댓글 달기
1725,빨강머리앤,15.12.09,에구 ᆢ무서운  일을 너우 일찍 격었네ᆢ,김 비서가 왜 그럴까(애장판) 53화,7,댓글 달기
1726,루루81,15.12.09,마지막에 읽다가 순간 빵 터졌네ㅋㅋ,김 비서가 왜 그럴까(애장판) 08화,7,댓글 달기
1727,빨강머리앤,15.12.09,ㅋㅋㅋㅋ 영준이 넘 귀여워요 ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 21화,7,댓글 달기
1728,엽기토끼,15.12.08,회장님...귀여우시넹...ㅋㅋ,김 비서가 왜 그럴까(애장판) 10화,7,댓글 달기
1729,금갱,15.12.07,"""기분 탓이야""에서 또한번 빵 터졌어요~ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 22화,7,댓글 달기
1730,금갱,15.12.07,와...진짜 대박 웃겨요~~ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 21화,7,댓글 달기
1731,바람,15.12.07,에구.... 거미 트라우마가 여기서.....,김 비서가 왜 그럴까(애장판) 53화,7,댓글 달기
1732,니냐니뇨,15.12.07,"진짜 30년 산 부부처럼 지냈었네요
립밤을 같이써온 사이라니.....ㅎㅎ",김 비서가 왜 그럴까(애장판) 37화,7,댓글 달기
1733,니냐니뇨,15.12.07,"와 자기가 동생한테 한 짓을 되려
자기가 당했다고 사기치고있네요ㅡㅡ
나쁜 새끼ㅉㅉㅉ",김 비서가 왜 그럴까(애장판) 35화,7,댓글 달기
1734,일단읽고봅시다~💋,15.12.07,올만에 하트 푸하하하하하하 ?,김 비서가 왜 그럴까(애장판) 12화,7,댓글 달기
1735,"수플레,러뷰어,베스트,고리",15.12.07,그 할 말이 뭘까요?,김 비서가 왜 그럴까(애장판) 54화,7,댓글 달기
1736,🌙💫✨🌟💍,15.12.07,남주 여주 모두 인격적으로 심각하게 고장났거나 음침하게 땅 파는 캐릭터가 아니고 부담스럽지 않게 적당히 특징적인 게 맘에 든다. 가장 좋은 건 둘이 주거니받거니가 잘 되는 거. 느낌이 좋음.,김 비서가 왜 그럴까(애장판) 05화,7,댓글 달기
1737,"수플레,러뷰어,베스트,고리",15.12.07,부창부수,김 비서가 왜 그럴까(애장판) 19화,7,댓글 달기
1738,함다정,15.12.07,그오빠가 보스세여??,김 비서가 왜 그럴까(애장판) 05화,7,댓글 달기
1739,블루초코,15.12.07,"자기 잘난 맛에 사는 재수덩어리에 지독한 나르시시즘환자지만
.
.
.
.
.
.
.
.
 좀 불쌍하다....",김 비서가 왜 그럴까(애장판) 74화,7,댓글 달기
1740,마니보아,20.01.06,여주 미소역 박민영씨였나요? 바빠서 드라마를 못봤는데 박민영씨 모습이 절로 그려지네요,김 비서가 왜 그럴까(애장판) 10화,6,댓글 달기
1741,망고,19.12.11,으으 딸들 이름 지어 놓은 꼬라지 너무 역겹다... 저래놓고는 등골 빼먹던 막내한테 결국 사채빚까지 떠넘긴 놈 답네 다워,김 비서가 왜 그럴까(애장판) 06화,6,댓글 달기
1742,lacy,18.08.10,ㅋㅋㅋㅋ성격까지 붕어빵인데??,김 비서가 왜 그럴까(애장판) 72화,6,댓글 달기
1743,"TL,PRM.",18.08.06,후훗,김 비서가 왜 그럴까(애장판) 64화,6,댓글 달기
1744,심성남,18.08.01,알고있는 소설이랑 좀다르네요 괜히 영준.미소 싸움 붙이는꼴인것 같네요 전혀 다른느낌입니다,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,6,댓글 달기
1745,뱃살이랑,18.07.14,성연  성현,김 비서가 왜 그럴까(애장판) 34화,6,댓글 달기
1746,불닭집알바,18.07.12,좀더 강하고 자극적인 묘사가 필요합니다,김 비서가 왜 그럴까(애장판) 64화,6,2
1747,핑크공,18.07.08,"베댓이 늘 다음 화 댓글이네. 
다음 화 내용을 베댓보고 짐작함.",김 비서가 왜 그럴까(애장판) 50화,6,댓글 달기
1748,......,18.06.28,미소가 정식으로 인사올거라는 얘기 듣고 회사로 찾아와 김비서를 찾는 이유가 뭘까? 그 옛날 얘기 꺼내며 영준이는 나쁜넘이니 결혼하면 안된다고 방해하러 온건가...시한폭탄같아서 불안하군..,김 비서가 왜 그럴까(애장판) 48화,6,댓글 달기
1749,서로다정,18.06.28,"일주일을 손꼽아 기다리던게 세 개가 있었는데 이제 하나 줄었네요 아흑 아쉽 ;;
글치만 멋지게 완결 내주셔서 흡족합니다♡ 
PPL스러운 박서준의 등장ㅋ 재밌었네요ㅋㅋㅋ",김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 4화(완결),6,댓글 달기
1750,keep going,18.06.27,"정경윤 작가님~~
현실적이면서도 주변 캐릭터를 살려 둘만의 추억으로 화해시키는 솜씨가 로설의 품격을 높여 줍니다~!!!!  외전까지 수고 많으셨어요~ 작가님의 글이 있어, 멋진 만화도 한층 즐거웠고 드라마는 더 풍성해 졌습니다~ 작가님이 뿌린 씨앗이 이렇게 풍성해지고 다양한 에피소드가 추가되어 다 성공하시길 모두 축하드립니다.^^",김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 4화(완결),6,댓글 달기
1751,흑발은사랑이다,18.06.27,"그동안 봤던 영준이랑 미소가 아니다....
아.. 그냥 안볼껄... ㅠㅠ 
결혼하면 현실? 그거 모르는거아닌데 왠지 이영준이라면 저런식으로 안했을껏같았고
미소역시 저렇게 받아치지않았을텐데...
캐릭터가 붕괴된 느낌이에요 ㅠㅠ",김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,6,댓글 달기
1752,카페라떼,18.06.27,박서준보다 이영준이라구요?ㅋㅋ 제맘속은 서준입니다💕ㅋㅋ,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 4화(완결),6,댓글 달기
1753,Spa,18.06.25,결혼생활에 대한 내용은 현실성이 있으나 주인공들의 행동 양상은 기존 인물의 성격에서 벗어나는 것. 많은 분들이 이야기하셨다시피 이전 소설의 외전이 아니라 별개의 소설이네요. 드라마 외전 생각하면서 적은건지도 모르겠고.,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,6,댓글 달기
1754,알리샤,18.06.25,"여기 반응을 보니 딱 둘로 나뉘는 느낌이네요. 기혼자와 미혼자~~ ㅋㅋ~ 참고로 저는 기혼자쪽. 나이많은 아들 키운다고 생각하라는 말, 포기가 편하다는 말, 백퍼 ㅗㅇ감입니당. 밖에서 완벽한 남자여도 집에서는 풀어지게 되어있어요. 안팎으로 완벽한 사람은 없더라구요.",김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,6,댓글 달기
1755,🍉💜,18.06.25,댓글창.. 제발 좀 고쳐달라고!!!!!!!!!!!,김 비서가 왜 그럴까(애장판) 75화,6,댓글 달기
1756,zormpa,18.06.22,댓글이 섞였네요... 계속 느꼈던 건데.. 다음 편 댓글이 여기 달려있어요.... ㅡㅡ...,김 비서가 왜 그럴까(애장판) 73화,6,댓글 달기
1757,블루노바,18.06.22,"본문 내용이 수정된거같은데 
예전에는 사모님이 ""그래 성연이야""라고 
하면서 거짓말 하시는 부분이 있었어요 
그래서 700명 넘는 분들이 공감을 하신거고
실제로도 댓글페이지 넘겨서 예전댓글들 보시면
그 내용 언급하는분들도 많구요..",김 비서가 왜 그럴까(애장판) 43화,6,댓글 달기
1758,1천캐시말고3천캐시로,18.06.21,연애와 결혼은 이렇게 다르다는걸 잘 표현해주시는 것 같은데 낯설어하시는 분들이 많네요. 저는 재밌게 잘 보고있습니다! 다음주도 잘 부탁드려요~,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,6,댓글 달기
1759,무니,18.06.20,역시 결혼은 현실이야...ㅠㅠ (무니님이 결혼에서 한걸음 물러나셨습니다.),김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,6,2
1760,문구삼촌,18.06.19,엄마의 독백속에 납치된 아이는 영준이라고  말하고 있네요..^^..,김 비서가 왜 그럴까(애장판) 43화,6,댓글 달기
1761,🍉💜,18.06.14,리뉴얼 하면서 댓글 창 밀린건 안고쳤냐.. 아휴,김 비서가 왜 그럴까(애장판) 70화,6,댓글 달기
1762,승주&인수맘,18.06.13,박서준 보고왔더니 박서준이 또 나오네영,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 2화,6,댓글 달기
1763,ㄴㅂㅇㄱㅅㅌㄹㄹㄴㅌㅎㅈㅁㄹ,18.06.13,근데 사흘동안 발이 피안통하게 묶여있었어도 다리불편함은 안남고 상처뿐인가요? 그정도면 장애올정도라던데요,김 비서가 왜 그럴까(애장판) 54화,6,1
1764,우유토끼와레몬파이,18.06.11,여긴 스포 천국이군. ㅠㅠ,김 비서가 왜 그럴까(애장판) 22화,6,댓글 달기
1765,우유토끼와레몬파이,18.06.08,"외향적 코털님께서 마실 나온 이유는....
33년 동안 어두 껌껌한 콧구멍 속에만 갖혀 있다보니 답답함을 느낀 나머지 자유이용권을 끈게 된 것이라고 전해진다...",김 비서가 왜 그럴까(애장판) 20화,6,댓글 달기
1766,내가쾌검이글,18.06.08,"형이란 인간이 진짜 무섭네
동생죽일뿐 해놓고선 무사히 살아오니 
지가 고생한거 같이 거짓말하고 
부모란 사람도 이상하다.
이런 형을 병원에 안 데려가고 영준이 괴롭히게 두는게 이해안간다",김 비서가 왜 그럴까(애장판) 34화,6,댓글 달기
1767,..,18.06.07,"천재봉 이름 족나 잘지은거같다
이름만 봐도 바느질을 족나 잘할거같은
직관적인 이름이 아닌가?
음,,마치 이세돌같아",김 비서가 왜 그럴까(애장판) 45화,6,댓글 달기
1768,초이,18.06.06,"꺄~~ 드라마 첫방하는 날은 특별외전 시작일!!
기다렸던만큼 기대합니다!!!^^",김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 1화,6,댓글 달기
1769,sugar,18.05.30,작가님 늦게 함류한 사람으로써 뎃글들이 본문과 안맞아요 혹시 내용이 많이 바뀐건가요,김 비서가 왜 그럴까(애장판) 76화,6,댓글 달기
1770,날치걸,18.05.30,맙소사ㅋㅋㅋ 키스하다 목돌아갈뻔,김 비서가 왜 그럴까(애장판) 42화,6,댓글 달기
1771,레몬치즈,18.03.31,"댓글이랑 내용이 느므 안맞음
볼수록 거슬리네
직원이  잘못해서 애먼 독자들이 억지로 강제스포댓글읽네",김 비서가 왜 그럴까(애장판) 50화,6,댓글 달기
1772,김도영기여워,18.01.26,하이퍼소닉네메시스울트라메가소닉네메시스.......할 말이 없군.....,김 비서가 왜 그럴까(애장판) 72화,6,댓글 달기
1773,반짝이,18.01.26,만화로.... 통편집 한표....ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 62화,6,댓글 달기
1774,"아,비켜봐ㅋㅋ내가사랑한다니까?",18.01.24,아니잠만..이거  카카오페이지에서는 안 막아..?!?,김 비서가 왜 그럴까(애장판) 62화,6,3
1775,LaplaceFurier,18.01.24,영준이는 선수... 미소는 첫경험인듯... 에이 부러운 자슥...,김 비서가 왜 그럴까(애장판) 62화,6,1
1776,김도영,18.01.21,"정말 아빠랑 판박이구나! 아빠가 키우던 개이름이생각나는군 ㅎㅎㅎ 귀여운태양
곧 드라마로 나온다니 너무 기대된다",김 비서가 왜 그럴까(애장판) 72화,6,댓글 달기
1777,"꽃길_시카울프,반월당일러돌려내",18.01.21,이번엔 오로라를 삼켰대ㅋㅋㅋㅋ또 얼마나 대단한 따님이 나오는거야,김 비서가 왜 그럴까(애장판) 72화,6,댓글 달기
1778,소설좋아~^^,18.01.14,"하.. 진짜.. 무서웠겠당.. 
질투가 동생을 버리고, 불륜한 주제에 애들 납치하고 애들 보는데 자살하고.. 
영준 부모들은 정신력 약한 형 놈 두둔하면서 과거를 감추고 ㅠㅠ
비정상적인 집에서 정상적인  영준이 살아남으려고 얼마나 힘들었을까?
영준이는 어렸을때도 멋졌고... 지금도 넘 멋있당.",김 비서가 왜 그럴까(애장판) 54화,6,댓글 달기
1779,써니잉,18.01.13,100만  축하드려요! 소설과 만화모두  100만 이네요 대단해요!!,김 비서가 왜 그럴까(애장판) 79화,6,댓글 달기
1780,뱃살공주,18.01.10,"어머니 아들 둘을 기만하고 
사상누각위에 행복한 가정을 꿈꾸셨나요?",김 비서가 왜 그럴까(애장판) 43화,6,댓글 달기
1781,Hj,18.01.09,드라마 제작 축하드려요!! 제발 스토리가 소설에 반만이라도 따라갓음 좋겟어요ㅜ 현실에 영준이 같은 사람이 존재할까요? 우리나라에서 제일 잘 생긴사람이 영준이를 연기해야 마스터피스인 영준이를 그나마 따라갈듯 ㅋㅋㅋ 미소같은 여주 찾기는 어려울거같아요ㅜ 제발 20대고 예쁘고 연기잘하는 배우 썻으면 윤아나 박신혜 같은,김 비서가 왜 그럴까(애장판) 84화(완결),6,댓글 달기
1782,에스프레소,17.12.05,그래도 저 상황에 둘이 함께 있어서 다행이다ㅠ,김 비서가 왜 그럴까(애장판) 52화,6,댓글 달기
1783,💜❤💕유기야사랑해💕❤💛,17.12.02,영준이는 알고 있었구나ㅠㅡㅜ,김 비서가 왜 그럴까(애장판) 10화,6,댓글 달기
1784,"꽃길_시카울프,반월당일러돌려내",17.11.27,이성연이 생각보다 신물나는 사람이네.. 그렇게 안봤는데 영준이가 경멸하는데는 이유가 있었어,김 비서가 왜 그럴까(애장판) 26화,6,댓글 달기
1785,"꽃길_시카울프,반월당일러돌려내",17.11.25,제목이 이성현이라는 건 영준이의 옛날 이름이 성현?,김 비서가 왜 그럴까(애장판) 25화,6,댓글 달기
1786,♡♡^^♡♡,17.11.17,그런데 오대리라는 여자 진짜 나쁜데? 돈때문에 미소를 팔아넘긴거잖아. 만약 영준이 천하의 나쁜놈이었다면 미소인생은 어떻게 되는거야? 영준이 세상 멋있는 남주여서 다행이지. 지 돈 받아먹을라고 어린애를 떠밀다니...,김 비서가 왜 그럴까(애장판) 75화,6,댓글 달기
1787,leesangmae,17.11.12,"영준이가 납치된 사실을 왜곡할 수 밖에 없는 엄마 맘은 오죽할까요 ㅠㅠ
그러지않고 사실을 밝히면 미치광이때문에  영준이가 더 불행해질걸 알기때문에
영준이도 기억상실증인척
엄마도 모르는척 ㅠㅠ",김 비서가 왜 그럴까(애장판) 43화,6,댓글 달기
1788,leesangmae,17.11.11,"악마같은형에게 시달리다가
어린천재는 기절하고 기억을 잃는 연기를
했나봐요ㅠㅠ",김 비서가 왜 그럴까(애장판) 42화,6,댓글 달기
1789,JI,17.11.06,"영준이 엄마 맞는지 의문...
어떻게 끔찍한 일 겪은 애는 뒷전이고 동생 질투해서 내버리고 거짓말까지한 애만 불쌍하고 안쓰러울수가?
정말 어머니라면 저러면 안되지
나라면 평생 영준이한테 미안해서 얼굴도 못들겠구만 서른이 넘을 때까지 온가족이 피해자를 가해자로 대하고...가족이 제일 문제",김 비서가 왜 그럴까(애장판) 45화,6,댓글 달기
1790,Lovly,17.10.26,한 15금은 걸어야될것 같아요 ㅋㅋㅋ 생략해도 다.. 알아듣겠지만...,김 비서가 왜 그럴까(애장판) 65화,6,댓글 달기
1791,봉봉,17.10.24,[상상사용법] 작가님 꼭 만나 봽고 싶습니다 ㅠㅠ 정말 작가님 소설 읽으면서 참 재밌고 재치있게 글을 뽑아내신 글 솜씨에 항상 감탄하곤 했는데요. 직접 만나봴 수 있다면 정말 행복할거에요 ㅠㅠ,김 비서가 왜 그럴까(애장판) 74화,6,댓글 달기
1792,루시아,17.10.24,아이 이름을 그런 걸로 지어주면 말을 알아 들을 나이가 되자마자 중2병 올 듯ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 69화,6,댓글 달기
1793,무잇,17.10.23,아니 제발 박 박사 재결합 해줘요ㅠㅍ,김 비서가 왜 그럴까(애장판) 30화,6,댓글 달기
1794,대존잘_있는곳에_내가있고,17.10.23,난 영준이 오해하고 질투할 줄 알았는데 너무 자신감 넘치잖아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 인정할 수 밖에 없는게 함정...,김 비서가 왜 그럴까(애장판) 20화,6,댓글 달기
1795,Song,17.10.18,고난이도 급똥 스킬!!,김 비서가 왜 그럴까(애장판) 79화,6,댓글 달기
1796,구찌뷔,17.10.18,웹툰으로 보고 온 사람 저 말고 더 있으신가여...?,김 비서가 왜 그럴까(애장판) 05화,6,댓글 달기
1797,하늘비,17.09.29,섯다.............................엄지...엄지...엄지척!!,김 비서가 왜 그럴까(애장판) 65화,6,댓글 달기
1798,BEJ,17.09.29,"만화로만 보다가 책으로 보니, 확실히 심리 묘사나
상황이 더 섬세하게 느껴지는군요",김 비서가 왜 그럴까(애장판) 42화,6,1
1799,까망누룽지,17.09.19,영준은 처음부터 알고 있었네. ^^,김 비서가 왜 그럴까(애장판) 74화,6,댓글 달기
1800,ㅇㅇ,17.09.18,아... 저래서 언니들이 미소가 없어진 줄 몰랐었구나... 가족이 관심 없는게 아니었어 다행이다 ㅠㅠ,김 비서가 왜 그럴까(애장판) 54화,6,댓글 달기
1801,까망누룽지,17.09.15,그닥 평범해 보이지 않는 가족이네요. ^^,김 비서가 왜 그럴까(애장판) 71화,6,댓글 달기
1802,디아벨리아,17.09.14,이렇게까지 써주시는 작가님 드물던데..,김 비서가 왜 그럴까(애장판) 62화,6,댓글 달기
1803,동동ฅ⍢⃝❤⍤⃝📕,17.09.01,"그 여름..에 재이네 시아버님이랑 양대 산맥이시네ㅋㅋㅋ
며느리 사랑은 시아버지~~",김 비서가 왜 그럴까(애장판) 63화,6,댓글 달기
1804,..,17.08.31,"성연이도 자신의 죄책감으로 그런 거라 뭐라고 하지는 못 하지만 다 큰 성인인 지금 자신이 성준이한테 그런 거라고 밝혀지면 제발 그대로 받아들였으면 좋겠다 소란 피우지 말고,,",김 비서가 왜 그럴까(애장판) 46화,6,3
1805,오리지날,17.08.20,"마지막 비상 식량을 선뜻 주는 남자를 놓치면 안되지..암... 프로포즈 잘 했다, 미소야.. ㅎㅎㅎ",김 비서가 왜 그럴까(애장판) 52화,6,댓글 달기
1806,재벌쭈★,17.08.14,미소는 건물주도 되고 존잘에 천재에 부자인데다 미소만 바라봐주는 남편에 멋진시부모에 임신까지~세상 모든 복은 다 미소가 가져갔나봐~부럽당,김 비서가 왜 그럴까(애장판) 68화,6,댓글 달기
1807,커피큘라,17.08.11,작명실력은 중2병 완전 돋는 그아버지에 그아들~ㅋㅋ,김 비서가 왜 그럴까(애장판) 72화,6,댓글 달기
1808,까망누룽지,17.08.10,"영준이의 고통이 과거부터의 기억이 미소의 키스로 좀 사그라 들었나부다.
고통으로 잠 못이루는밤을 지내다가 마음이 편해지니 잠에 빠져 드나부네. ^^",김 비서가 왜 그럴까(애장판) 42화,6,댓글 달기
1809,하얀노래,17.08.06,소설 먼저 봤던 만화 장면 떠올려 상상하면서 읽고 있어요...,김 비서가 왜 그럴까(애장판) 10화,6,댓글 달기
1810,꿈꾸는아저씨!!!,17.08.04,그래도 행위후의 그 추위는 어쩔려고....ㅋㅋ,김 비서가 왜 그럴까(애장판) 64화,6,댓글 달기
1811,얼굴천재얼굴알파고,17.08.01,태양아 그거 평범한거 아냐.....(말잇못),김 비서가 왜 그럴까(애장판) 72화,6,댓글 달기
1812,아뭐,17.07.27,아니 왜 다 몸매관리 말 뿐이야 ㅋ 태양이가 꼼짝못하는 아이가 생긴게 재밌네요 ㅎㅎㅎ,김 비서가 왜 그럴까(애장판) 84화(완결),6,댓글 달기
1813,모이,17.07.27,만화보다가 미모의 사이다 여주에게 반해서 소설도 봐요,김 비서가 왜 그럴까(애장판) 09화,6,댓글 달기
1814,까망누룽지,17.07.25,성연이가 기억을 왜곡되게 기억하는거 같군. ㅡ.ㅡ,김 비서가 왜 그럴까(애장판) 26화,6,댓글 달기
1815,아라,17.07.25,미소는 다 눈치 깠는데..이것 또한 미소에 대한 배려겠지만 깊은 사이가 될수록 비밀없이 얘기하는 게 상대에 대한 진정한 배려임을 모르네 .넘 거리를 두려하네. 어차피 넌 내여자니까.. ?ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 48화,6,댓글 달기
1816,꿈꾸는아저씨!!!,17.07.22,"ㅋㅋ~~
미소가 먼저 어릴적에 영준이에게 프로포즈했구나...ㅎㅎ
애네들은 어릴적에도 귀엽게 노네...ㅋㅋ",김 비서가 왜 그럴까(애장판) 52화,6,댓글 달기
1817,까망누룽지,17.07.19,ㅋㅋㅋ 영준이 아파도 속으로는 쾌재를 부르겠네~!!  ^^,김 비서가 왜 그럴까(애장판) 21화,6,댓글 달기
1818,오타가잇다면스마미셍,17.07.15,"ㅋㅋㅋㅋㅋ
예~전에 이영준운 인맥이나 추억으로 사람 뽑을 사람운 아닌거같다고, 미소가 끈질기게 살아남았울거라고 추리댓 달아놨더니!!!
이영준 너 이샠ㅋㅋㅋㅋㅋ사감 엄청 들어갔잖앜ㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 75화,6,댓글 달기
1819,촛농,17.07.07,"미소 가족들은 정말 너무해ㅠㅠ
그래도 남편 잘 만나서 사랑 많이 받으니 다행이지만--;",김 비서가 왜 그럴까(애장판) 82화,6,댓글 달기
1820,꿈꾸는아저씨!!!,17.06.29,"성현이 충걱 먹었네....ㅎ
자기가 아니라 첵에게 관심을 쏟는 미서 보고서....ㅋㅋ
그래 책에다 질투나 해라^^",김 비서가 왜 그럴까(애장판) 31화,6,댓글 달기
1821,재벌쭈★,17.06.20,"흠..예습하고 열심히 수업하고 복습까지...진정 바른자세로군ㅋㅋ 내 안에 음마가 깨어나려한다..😈
전체관람이라 작가님도 자제하셨겠지만 19버젼 따로 없나요? 전 그냥 수업내용이 궁금할뿐입니다😇",김 비서가 왜 그럴까(애장판) 63화,6,댓글 달기
1822,재벌쭈★,17.06.20,드뎌!!드뎌!!! 내가 이걸보려고 여기까지 왔구나!!ㅋㅋㅋ 영준이는 모든면에서 완벽하려고 하는군 19금에서동...👍너 이자식 쵝오..,김 비서가 왜 그럴까(애장판) 62화,6,댓글 달기
1823,재벌쭈★,17.06.20,내여자 데리러 왔데ㅋㅋ😍 타이밍 쥑이는군,김 비서가 왜 그럴까(애장판) 61화,6,댓글 달기
1824,Herrr,17.06.18,ㅋㅋㅋㅋㅋㅋ 셀카봉이래 ㅋㅋㅋㅋㅋ 낚였어 ㅋㅋㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 79화,6,댓글 달기
1825,짜잔,17.06.18,영준이가 여자시체보고 미소한테 거미라고 거짓말친듯 미소까지 충격받으면 안되니까..,김 비서가 왜 그럴까(애장판) 49화,6,댓글 달기
